date,paid_price
2024-01-04,141.17
2024-01-06,48.0
2024-01-07,42.5
2024-01-09,75.0
2024-01-11,95.75
2024-01-13,48.99
2024-01-16,205.46
2024-01-17,16.0
2024-01-19,62.4
2024-01-23,45.6
2024-01-24,1725.0
2024-01-28,162.54000000000002
2024-01-29,30.25
2024-02-01,94.0
2024-02-02,107.98
2024-02-03,76.2
2024-02-05,55.5
2024-02-06,19.25
2024-02-07,121.72999999999999
2024-02-08,27186.25
2024-02-09,72.0
2024-02-10,191.39
2024-02-12,163.2
2024-02-14,150.3
2024-02-15,22.5
2024-02-17,36.0
2024-02-18,167.5
2024-02-19,17.0
2024-02-20,267.0
2024-02-23,184.8
2024-02-24,139.95
2024-02-25,90.5
2024-02-26,247.0
2024-02-27,53.25
2024-02-28,190.0
2024-02-29,244.47
2024-03-01,454.0
2024-03-02,192.75
2024-03-03,78.5
2024-03-04,75.3
2024-03-05,8930.39
2024-03-06,198.79000000000002
2024-03-07,185.5
2024-03-08,482.89
2024-03-09,133.4
2024-03-10,411.2
2024-03-11,53.0
2024-03-12,80.39
2024-03-13,7785.4
2024-03-14,1630.94
2024-03-15,324.65
2024-03-16,477.35
2024-03-18,148.0
2024-03-19,20.39
2024-03-20,479.08
2024-03-21,382.0
2024-03-22,14648.79
2024-03-23,61.0
2024-03-24,91.75
2024-03-25,402.75
2024-03-26,558.08
2024-03-27,394.47
2024-03-28,354.6
2024-03-29,397.98
2024-03-30,32.0
2024-03-31,153.8
2024-04-01,339.7
2024-04-02,6430.74
2024-04-03,5295.53
2024-04-04,29.0
2024-04-05,346.85
2024-04-06,130.73
2024-04-07,1915.81
2024-04-08,572.94
2024-04-09,2933.7
2024-04-10,5530.18
2024-04-11,12497.5
2024-04-12,285.69
2024-04-13,12575.0
2024-04-14,596.68
2024-04-15,18815.03
2024-04-16,165.65
2024-04-17,304.47
2024-04-18,338.73
2024-04-19,459.13
2024-04-20,101.0
2024-04-21,280.75
2024-04-22,11132.4
2024-04-23,5738.5
2024-04-24,630.69
2024-04-25,26357.829999999998
2024-04-26,670.44
2024-04-27,6848.73
2024-04-28,638.9
2024-04-29,6338.27
2024-04-30,6549.6
2024-05-01,612.7
2024-05-02,7750.2
2024-05-03,9510.75
2024-05-04,463.74
2024-05-05,3745.25
2024-05-06,5315.9
2024-05-07,525.59
2024-05-08,379.3
2024-05-09,339.09000000000003
2024-05-10,428.2
2024-05-11,711.39
2024-05-12,739.18
2024-05-13,622.89
2024-05-14,1039.65
2024-05-15,433.69
2024-05-16,2767.13
2024-05-17,909.5
2024-05-18,10988.27
2024-05-19,221.5
2024-05-20,1197.95
2024-05-21,628.96
2024-05-22,336.5
2024-05-23,1145.84
2024-05-24,321.55
2024-05-25,10865.17
2024-05-26,13694.3
2024-05-27,35830.99
2024-05-28,42620.05
2024-05-29,431.67
2024-05-30,10774.44
2024-05-31,117.8
2024-06-01,815.35
2024-06-02,6085.740000000001
2024-06-03,538.44
2024-06-04,5083.6
2024-06-05,736.0
2024-06-06,729.19
2024-06-07,536.53
2024-06-08,17131.7
2024-06-09,12244.6
2024-06-10,9120.04
2024-06-11,3800.23
2024-06-12,7080.48
2024-06-13,9342.01
2024-06-14,21898.1
2024-06-15,8389.07
2024-06-16,455.69
2024-06-17,455.28
2024-06-18,666.99
2024-06-19,1448.3
2024-06-20,448.8
2024-06-21,9723.32
2024-06-22,10026.51
2024-06-23,28451.24
2024-06-24,3112.5299999999997
2024-06-25,11004.2
2024-06-26,435.64
2024-06-27,40651.329999999994
2024-06-28,6084.64
2024-06-29,662.55
2024-06-30,5199.72
2024-07-01,433.86
2024-07-02,8482.64
2024-07-03,1119.99
2024-07-04,1075.44
2024-07-05,15228.380000000001
2024-07-06,6951.18
2024-07-07,31232.25
2024-07-08,24036.329999999998
2024-07-09,8402.62
2024-07-10,5511.29
2024-07-11,13123.04
2024-07-12,10906.33
2024-07-13,768.7
2024-07-14,6841.8
2024-07-15,8944.72
2024-07-16,39926.44
2024-07-17,4907.29
2024-07-18,13761.810000000001
2024-07-19,1139.54
2024-07-20,10182.730000000001
2024-07-21,3188.75
2024-07-22,6195.2699999999995
2024-07-23,559.47
2024-07-24,1016.4000000000001
2024-07-25,66451.83
2024-07-26,38903.9
2024-07-27,5259.82
2024-07-28,903.46
2024-07-29,18310.66
2024-07-30,57054.17
2024-07-31,842.46
2024-08-01,18542.15
2024-08-02,11393.57
2024-08-03,11342.499999999998
2024-08-04,16630.51
2024-08-05,11164.550000000001
2024-08-06,15485.35
2024-08-07,21209.420000000002
2024-08-08,28050.57
2024-08-09,23166.2
2024-08-10,4894.82
2024-08-11,5364.4400000000005
2024-08-12,25959.2
2024-08-13,14944.67
2024-08-14,7890.400000000001
2024-08-15,23514.9
2024-08-16,1233.33
2024-08-17,1297.23
2024-08-18,3318.71
2024-08-19,15663.96
2024-08-20,1611.21
2024-08-21,6187.78
2024-08-22,936.69
2024-08-23,23733.7
2024-08-24,9969.56
2024-08-25,18353.94
2024-08-26,38909.07
2024-08-27,7246.63
2024-08-28,20501.77
2024-08-29,10901.34
2024-08-30,14022.76
2024-08-31,5471.25
2024-09-01,1650.35
2024-09-02,18949.8
2024-09-03,10468.5
2024-09-04,13923.17
2024-09-05,31878.010000000002
2024-09-06,44325.68
2024-09-07,33308.51
2024-09-08,1412.19
2024-09-09,16478.59
2024-09-10,21344.72
2024-09-11,42518.3
2024-09-12,8845.39
2024-09-13,17194.829999999998
2024-09-14,35259.49
2024-09-15,7722.67
2024-09-16,36342.94
2024-09-17,18004.699999999997
2024-09-18,1512.95
2024-09-19,47858.51
2024-09-20,30660.5
2024-09-21,43379.09
2024-09-22,35836.94
2024-09-23,8145.849999999999
2024-09-24,31405.39
2024-09-25,54974.84
2024-09-26,11334.79
2024-09-27,12200.48
2024-09-28,5106.32
2024-09-29,1460.45
2024-09-30,1572.02
2024-10-01,35369.35
2024-10-02,10673.01
2024-10-03,26918.86
2024-10-04,12499.82
2024-10-05,18953.54
2024-10-06,4225.71
2024-10-07,11435.66
2024-10-08,12601.619999999999
2024-10-09,31359.27
2024-10-10,12620.93
2024-10-11,7876.21
2024-10-12,1922.0
2024-10-13,49474.329999999994
2024-10-14,10254.4
2024-10-15,30378.87
2024-10-16,5725.86
2024-10-17,9779.11
2024-10-18,8495.24
2024-10-19,23313.239999999998
2024-10-20,12274.35
2024-10-21,8210.970000000001
2024-10-22,11632.12
2024-10-23,17344.030000000002
2024-10-24,13313.97
2024-10-25,38812.97
2024-10-26,9741.12
2024-10-27,4543.9
2024-10-28,16000.869999999999
2024-10-29,23489.14
2024-10-30,33571.53
2024-10-31,18310.89
2024-11-01,14507.319999999998
2024-11-02,12929.8
2024-11-03,41185.5
2024-11-04,14497.13
2024-11-05,15233.699999999999
2024-11-06,14904.880000000001
2024-11-07,5246.47
2024-11-08,10993.95
2024-11-09,19919.08
2024-11-10,35586.37
2024-11-11,31476.87
2024-11-12,19665.55
2024-11-13,3992.2900000000004
2024-11-14,17386.489999999998
2024-11-15,7349.91
2024-11-16,34358.39
2024-11-17,23747.32
2024-11-18,17435.88
2024-11-19,29950.6
2024-11-20,14896.19
2024-11-21,12571.44
2024-11-22,26464.89
2024-11-23,10713.43
2024-11-24,1422.19
2024-11-25,46204.47
2024-11-26,42839.06
2024-11-27,15848.08
2024-11-28,12496.17
2024-11-29,55428.83
2024-11-30,25479.120000000003
2024-12-01,19660.44
2024-12-02,17537.739999999998
2024-12-03,10907.37
2024-12-04,24408.09
2024-12-05,2227.09
2024-12-06,10150.69
2024-12-07,40115.82
2024-12-08,4525.24
2024-12-09,40520.02
2024-12-10,7103.650000000001
2024-12-11,24874.92
2024-12-12,40461.630000000005
2024-12-13,6747.72
2024-12-14,20801.98
2024-12-15,7890.49
2024-12-16,23594.13
2024-12-17,70664.17
2024-12-18,20835.18
2024-12-19,22434.29
2024-12-20,23544.28
2024-12-21,16967.670000000002
2024-12-22,6512.13
2024-12-23,44425.659999999996
2024-12-24,25717.8
2024-12-25,23169.62
2024-12-26,75471.88
2024-12-27,10004.57
2024-12-28,2933.7
2024-12-29,31243.760000000002
